Cluster_ID,Centroid_Lat,Centroid_Lon,Total_POI,parlimen,dun
0,2.817891799,101.6941975,5,P.113 Sepang,N.55 Dengkil
1,2.9013442,101.8350267,3,P.101 Hulu Langat,N.24 Semenyih
2,2.943867233,101.5881263,3,P.112 Kuala Langat,N.51 Sijangkang
3,2.963657981,101.753287,5,P.102 Bangi,N.26 Sungai Ramal
4,2.9910472,101.4506317,3,P.111 Kota Raja,N.49 Sungai Kandis
5,2.992343276,101.7604637,8,P.102 Bangi,N.26 Sungai Ramal
6,2.995882467,101.6697865,3,P.103 Puchong,N.29 Seri Serdang
7,2.999815708,101.5959468,6,P.103 Puchong,N.29 Seri Serdang
8,3.0066781,101.6056605,3,P.103 Puchong,N.29 Seri Serdang
9,3.0072605,101.4355422,3,P.111 Kota Raja,N.48 Sentosa
10,3.008858749,101.7140691,8,P.103 Puchong,N.29 Seri Serdang
11,3.026051937,101.616314,6,P.104 Subang,N.30 Kinrara
12,3.035861246,101.765133,8,P.102 Bangi,N.27 Balakong
13,3.052557631,101.6787037,6,P.122 Seputeh,P.122 Seputeh
14,3.0683625,101.6571963,3,P.122 Seputeh,P.122 Seputeh
15,3.071515833,101.5084891,3,P.108 Shah Alam,N.40 Kota Anggerik
16,3.072659371,101.6095784,7,P.105 Petaling Jaya,N.32 Seri Setia
17,3.074035577,101.5902537,8,P.104 Subang,N.31 Subang Jaya
18,3.090198953,101.7427522,10,P.123 Cheras,P.123 Cheras
19,3.089813476,101.6871842,5,P.122 Seputeh,P.122 Seputeh
20,3.090832483,101.4529011,4,P.108 Shah Alam,N.40 Kota Anggerik
21,3.091035533,101.713767,3,P.124 Bandar Tun Razak,P.124 Bandar Tun Razak
22,3.095539767,101.7008347,3,P.120 Bukit Bintang,P.120 Bukit Bintang
23,3.0970717,101.5554526,3,P.105 Petaling Jaya,N.32 Seri Setia
24,3.099501548,101.6867492,6,P.122 Seputeh,P.122 Seputeh
25,3.100512467,101.641114,3,P.105 Petaling Jaya,N.34 Bukit Gasing
26,3.119138811,101.6740422,6,P.121 Lembah Pantai,P.121 Lembah Pantai
27,3.1199087,101.5797827,4,P.105 Petaling Jaya,N.32 Seri Setia
28,3.126047267,101.7368611,4,P.123 Cheras,P.123 Cheras
29,3.132257915,101.7524043,6,P.100 Pandan,N.21 Pandan Indah
30,3.141596767,101.629333,3,P.117 Segambut,P.117 Segambut
31,3.159293927,101.751261,7,P.099 Ampang,N.19 Bukit Antarabangsa
32,3.1613581,101.6499313,3,P.117 Segambut,P.117 Segambut
33,3.163476848,101.6569358,10,P.117 Segambut,P.117 Segambut
34,3.166359189,101.6522117,8,P.117 Segambut,P.117 Segambut
35,3.167518467,101.7358671,4,P.119 Titiwangsa,P.119 Titiwangsa
36,3.175062196,101.659762,6,P.117 Segambut,P.117 Segambut
37,3.184784932,101.692379,5,P.115 Batu,P.115 Batu
38,3.188720733,101.6052972,3,P.106 Damansara,N.37 Bukit Lanjan
39,3.191826067,101.770906,3,P.099 Ampang,N.19 Bukit Antarabangsa
40,3.197998756,101.7423106,8,P.118 Setiawangsa,P.118 Setiawangsa
41,3.20250211,101.7174015,7,P.116 Wangsa Maju,P.116 Wangsa Maju
42,3.203774526,101.7028511,6,P.116 Wangsa Maju,P.116 Wangsa Maju
43,3.208293955,101.6900325,8,P.116 Wangsa Maju,P.116 Wangsa Maju
44,3.216013167,101.6439673,3,P.114 Kepong,P.114 Kepong
45,3.232754867,101.4506274,3,P.096 Kuala Selangor,N.12 Jeram
46,3.404247705,101.5576683,4,P.094 Hulu Selangor,N.07 Batang Kali
47,2.744078711,101.6854454,12,P.113 Sepang,N.56 Sungai Pelek
48,2.754138067,101.704603,10,P.113 Sepang,N.56 Sungai Pelek
49,2.811574947,101.7378855,4,P.113 Sepang,N.56 Sungai Pelek
50,2.812886019,101.5005505,5,P.112 Kuala Langat,N.52 Banting
51,2.838036933,101.7257524,4,P.113 Sepang,N.56 Sungai Pelek
52,2.874344792,101.5019553,8,P.112 Kuala Langat,N.52 Banting
53,2.903482966,101.7640267,7,P.113 Sepang,N.55 Dengkil
54,2.913370728,101.4755727,5,P.112 Kuala Langat,N.51 Sijangkang
55,2.923129469,101.6614573,6,P.113 Sepang,N.55 Dengkil
56,2.924364233,101.6371758,4,P.113 Sepang,N.55 Dengkil
57,2.93245663,101.6809143,5,P.125 Putrajaya,P.125 Putrajaya
58,2.938771584,101.7132452,4,P.125 Putrajaya,P.125 Putrajaya
59,2.938299667,101.7750227,3,P.102 Bangi,N.26 Sungai Ramal
60,2.945515001,101.7239892,4,P.125 Putrajaya,P.125 Putrajaya
61,2.951890317,101.5818756,7,P.112 Kuala Langat,N.51 Sijangkang
62,2.95653014,101.552843,7,P.112 Kuala Langat,N.51 Sijangkang
63,2.958554981,101.8389783,4,P.101 Hulu Langat,N.24 Semenyih
64,2.979477567,101.73852,3,P.113 Sepang,N.55 Dengkil
65,2.980741967,101.6022687,3,P.103 Puchong,N.29 Seri Serdang
66,2.996383981,101.5738761,5,P.111 Kota Raja,N.50 Kota Kemuning
67,2.9977023,101.8123032,3,P.102 Bangi,N.25 Kajang
68,2.998949924,101.5280797,5,P.111 Kota Raja,N.50 Kota Kemuning
