station_name,location,type,latitude,longitude
16 Sierra MRT station,,MRT,2.949964,101.657094
Abdullah Hukum station,"Jalan Bangsar, Kampung Haji Abdullah Hukum, Kuala Lumpur, Malaysia.",LRT,3.118973,101.672512
Alam Megah LRT station,"Jalan Beranang 27/14A  Taman Bunga Negara  Section 27, Alam Megah  40400, Shah Alam, SelangorMalaysia",LRT,3.006683,101.568885
Alam Sutera LRT station,"Alam Sutera, Bandar Kinrara, SelangorMalaysia",LRT,3.0546753,101.6565324
Ampang Park LRT station,"Jalan Ampang, Kuala LumpurMalaysia",LRT,3.15976,101.707857
Ara Damansara LRT station,"Jalan Lapangan Terbang Subang  PJU 1A, Ara Damansara  47301, Petaling Jaya, Selangor  Malaysia",LRT,3.123983,101.582308
Asia Jaya LRT station,"Off Jalan Utara and Jalan 51A/223, Section 51A, Petaling Jaya, Selangor, Malaysia.",LRT,3.098357,101.590096
Awan Besar LRT station,"Bukit OUG, Kuala Lumpur, Malaysia.",LRT,3.062206,101.664358
Bandar Puteri LRT station,"Jalan Puchong–Dengkil  Bandar Puteri Puchong  47100, Puchong, SelangorMalaysia",LRT,3.02364,101.618385
Bandar Tasik Selatan station,"Kuala Lumpur Middle Ring Road 2, Bandar Tasik Selatan, Kuala Lumpur, Malaysia.",LRT,3.071825,101.716913
Bandar Tun Hussein Onn MRT station,,MRT,3.048625,101.774978
Bandar Tun Razak LRT station,"Persiaran Ikhlas, Bandar Tun Razak, Kuala Lumpur, Malaysia.",LRT,3.091532,101.712893
Bandar Utama MRT station,,MRT,3.144975,101.617333
Bank Rakyat-Bangsar LRT Station,"Jalan Bangsar, Bangsar, Kuala LumpurMalaysia",LRT,3.12765,101.67914
Batu 11 Cheras MRT station,,MRT,3.040683,101.772594
BBCC�Hang Tuah station,,Monorail,3.140463,101.706068
Bukit Bintang Monorail station,,Monorail,3.146581,101.71119
Bukit Dukung MRT station,,MRT,3.027192,101.772231
Bukit Jalil LRT station,"Bukit Jalil, Kuala Lumpur, Malaysia.",LRT,3.057827,101.674269
Bukit Kiara Selatan MRT station,,MRT,3.133986,101.65135
Bukit Nanas station,,Monorail,3.156506,101.704576
Chan Sow Lin station,,MRT,3.128518,101.715562
Cheras LRT station,"Jalan Jelawat Satu and Jalan 3/12, (northern) Sungai Besi-Taman Ikan Emas border, Kuala Lumpur, Malaysia.",LRT,3.1516964,101.6942371
Chow Kit station,,Monorail,3.167256,101.698294
Cochrane MRT station,,MRT,3.131943,101.723241
Conlay MRT station,,MRT,3.151783,101.718422
Cyberjaya City Centre MRT station,,MRT,2.938975,101.665639
Cyberjaya Utara MRT station,,MRT,2.95,101.65705
Damai LRT station (Malaysia),"Jalan Datuk Keramat  Kampung Datuk Keramat  54000, Kuala Lumpur, Malaysia",LRT,3.166291,101.724998
Damansara Damai MRT station,,MRT,3.199777126,101.5928268
Dang Wangi LRT station,"Jalan Ampang, City Centre, Kuala Lumpur, Malaysia.",LRT,3.1516964,101.6942371
Dato' Keramat LRT station,"Jalan Datuk Keramat  Kampung Datuk Keramat  54000, Kuala Lumpur, Malaysia",LRT,3.166291,101.724998
Glenmarie LRT station,"Jalan Lapangan Terbang Subang  Glenmarie, Section U1  40150, Shah Alam, Selangor  Malaysia",LRT,3.082665,101.561558
Gombak LRT station,"Jalan Terminal Putra, Taman Melati  53100, Kuala Lumpur  Malaysia",LRT,3.226437,101.724989
Hospital Kuala Lumpur MRT station,,MRT,3.174214,101.701653
Imbi station,,Monorail,3.138999444,101.7054972
IOI Puchong Jaya LRT station,"Damansara–Puchong Expressway  Bandar Puchong Jaya  47170 Puchong, SelangorMalaysia",LRT,3.039964,101.627957
Jalan Ipoh MRT station,,MRT,3.189306,101.681167
Jelatek LRT station,"Jalan Jelatek  AU1, Taman Keramat  54200, Kuala Lumpur  Malaysia",LRT,3.184833,101.74807
Jinjang MRT station,,MRT,3.209552,101.656064
Kajang station,,MRT,2.993403,101.786319
Kampung Baru LRT station,"Jalan Haji Hassan Salleh, Kampung Baru, Kuala Lumpur, Malaysia.",LRT,3.166093,101.711031
Kampung Batu station,,MRT,3.204722,101.675556
Kampung Selamat MRT station,,MRT,3.197369,101.578425
Kelana Jaya LRT station,Southbound carriageway on the E11 Damansara–Puchong Expressway between exit 1108 and 1109,LRT,3.1119278,101.6029237
Kentonmen MRT station,,MRT,3.19543,101.679614
Kepong Baru MRT station�,,MRT,3.21189,101.64804
Kerinchi LRT station,Plaza Pantai,LRT,3.115596,101.668543
Kinrara BK 5 LRT station,"Bukit Jalil Highway  Bandar Kinrara 2  47180, Puchong, SelangorMalaysia",LRT,3.043339,101.641019
KLCC LRT station,"Jalan Ampang, Kuala Lumpur",LRT,3.15976,101.707857
Kota Damansara MRT station,,MRT,3.150177,101.580002
Kuala Lumpur Sentral railway station,"Brickfields, Kuala LumpurMalaysia",LRT,3.13417,101.68611
Kuala Lumpur Sentral station,,Monorail,3.1343,101.6864
Kuchai MRT station,,MRT,3.089478,101.694106
Kwasa Damansara MRT station,,MRT,3.177557,101.5723905
Kwasa Sentral MRT station,,MRT,3.169852,101.564964
Lembah Subang LRT station,"Jalan PJU 1A/46  PJU 1A, Ara Damansara  47301, Petaling Jaya, Selangor  Malaysia",LRT,3.123983,101.582308
Maharajalela station,,Monorail,3.138653,101.699528
Maluri station,,MRT,3.123775,101.727469
Masjid Jamek LRT station,Jalan Tun Perak50050 WP Kuala Lumpur,LRT,3.1516964,101.6942371
Medan Tuanku station,,Monorail,3.159771,101.699757
Merdeka MRT station,,MRT,3.141633,101.702928
Metro Prima MRT station,,MRT,3.214539,101.639567
Muhibbah LRT station,"Kampung Muhibbah, Kuala Lumpur, Malaysia.",LRT,3.1516964,101.6942371
Mutiara Damansara MRT station,,MRT,3.155845,101.608055
Muzium Negara MRT station,,MRT,3.137514,101.687858
Pasar Seni LRT station,"Nearby Central Market, Kuala Lumpur, Malaysia",LRT,3.145855,101.69568
Persiaran KLCC MRT station,,MRT,3.157339,101.718269
Phileo Damansara MRT station,,MRT,3.129753,101.642144
Plaza Rakyat LRT station,Jalan Pudu56000 WP Kuala Lumpur,LRT,3.14405,101.7021
